Product,Revenue,Profit,Month,Region,Quantity
Webcam,3889964,445569.42,Jun,North,239
Laptop,4907017,1124961.28,Nov,West,149
Keyboard,288765,87828.37,Jul,South,279
Keyboard,9225567,2575381.88,Jun,North,377
Tablet,1174063,256585.67,Jun,East,31
Smartphone,6776292,1254334.44,Sep,East,202
Speaker,14312385,1225759.97,Feb,West,353
Mouse,9338742,2029771.39,Jun,South,411
Monitor,10599745,1806367.47,Jan,North,313
Laptop,3544875,531420.05,Aug,West,75
Headphones,18595080,3805515.1,Jun,East,315
Headphones,8425812,2290100.38,May,East,206
Webcam,14544816,3050076.26,Dec,East,429
Printer,670980,107697.22,Nov,North,422
Tablet,6260889,1809562.49,Dec,North,303
Speaker,4421547,1503861.91,Oct,South,247
Laptop,9691758,980356.39,Nov,West,303
Headphones,19172600,2351691.33,Oct,North,425
Monitor,411642,59320.8,Mar,West,14
Monitor,7178205,2027783.27,Aug,North,215
Headphones,3803760,830231.6,Nov,West,270
Webcam,4149214,1398308.55,Aug,East,197
Webcam,8331498,2346124.3,Dec,East,186
Speaker,3301200,1113168.66,May,East,252
Monitor,9741948,2740919.29,Dec,South,487
Printer,5334648,824955.05,Dec,East,167
Keyboard,2551561,645510.93,Jul,West,67
Mouse,25223359,7349702.16,May,North,493
Keyboard,23366694,1722331.69,Aug,East,494
Printer,1566588,467447.16,May,East,114
Headphones,2450940,667310.8,Apr,South,60
Laptop,20758234,4344956.75,Nov,South,347
Laptop,1544816,230313.66,Aug,North,56
Headphones,255969,87892.9,Mar,West,7
Printer,10740117,1179660.0,May,East,249
Keyboard,1466295,472705.78,Feb,South,335
Webcam,18341870,5596103.26,Jan,South,383
Tablet,25259208,2595045.46,Jan,West,456
Printer,4958600,1679177.4,May,North,100
Laptop,5922197,1367049.69,Jun,East,157
Printer,12022965,2492307.27,Mar,West,333
Keyboard,5511118,461798.78,Mar,West,103
Keyboard,4725144,256222.16,Jun,East,372
Speaker,17545150,1893970.63,Oct,West,350
Tablet,5893588,448038.4,Nov,North,268
Headphones,2416040,355352.37,Apr,North,76
Keyboard,3202935,589406.2,May,East,201
Keyboard,14505822,3218308.15,May,East,303
Monitor,1593504,136192.73,May,South,36
Tablet,11902148,3891190.72,Dec,East,356
Smartphone,6585220,1055368.24,Apr,South,332
Headphones,2624211,489398.56,Oct,East,249
Tablet,13283816,4301818.57,Sep,South,364
Monitor,17636586,4034269.22,Feb,West,353
Webcam,8836285,648855.62,Oct,North,365
Laptop,15611310,5009145.59,Apr,South,429
Headphones,9717828,2002868.28,Feb,South,172
Speaker,1647045,526505.61,Aug,North,255
Printer,2457792,429197.76,Oct,North,72
Webcam,10746190,3138689.21,Dec,North,241
Tablet,7290945,371142.94,Apr,North,135
Laptop,5100459,1326708.26,Sep,North,221
Smartphone,15184071,903762.91,Jul,South,483
Headphones,16889174,5801431.02,Nov,West,397
Mouse,11785926,2175223.94,Jul,West,461
Smartphone,15530334,4851150.12,Mar,East,354
Smartphone,3428064,575632.24,Mar,South,96
Laptop,779688,267859.63,Aug,West,392
Webcam,10837341,1288551.39,Aug,East,199
Headphones,1876392,621504.39,Dec,North,146
Laptop,18337954,3223302.14,Jan,South,419
Monitor,277368,63290.73,Aug,North,39
Monitor,1305216,222773.75,Apr,South,384
Laptop,2547748,886731.04,Apr,East,76
Speaker,15901119,4003258.89,Jun,South,311
Keyboard,4479264,1548520.39,Sep,South,453
Tablet,2928056,199949.01,Oct,South,158
Tablet,9531509,610638.31,Jun,West,289
Webcam,7750344,1355514.94,Mar,East,168
Tablet,4944159,1045088.81,Apr,South,99
Keyboard,20810724,1941755.52,Aug,North,444
Webcam,6003936,1303971.01,Mar,West,216
Monitor,1866375,278237.13,Feb,West,135
Mouse,1851356,495007.08,Apr,North,52
Keyboard,8840502,2046495.18,Jan,North,198
Monitor,20973888,4745868.74,Nov,South,416
Printer,6380391,2055186.78,May,North,111
Monitor,6269252,2122914.59,Feb,West,484
Monitor,14479710,3781095.0,Jul,South,361
Webcam,8673756,1170243.72,Aug,East,169
Keyboard,3321522,677075.53,Aug,West,138
Smartphone,19903104,3798450.21,Jun,South,416
Mouse,4558455,290440.29,Apr,South,165
Laptop,5073018,1676264.53,Oct,West,138
Keyboard,1108631,165141.21,Jul,South,83
Printer,12412400,4133817.8,Jun,East,286
Printer,23911581,5798757.73,Aug,West,499
Headphones,19987620,3111130.03,Mar,West,380
Headphones,27864090,5925049.54,Nov,North,474
Webcam,1220758,371121.68,Nov,North,22
Laptop,2054160,621924.5,Apr,North,216
Headphones,133506,26930.81,Jun,North,9
Speaker,14628876,4830032.32,Aug,West,331
Laptop,283032,60991.43,Jan,North,8
Webcam,6920870,1458375.63,May,North,374
Webcam,19464514,4909142.85,Mar,North,421
Smartphone,2800434,342466.89,Oct,East,273
Mouse,7416036,1253821.25,Jun,West,141
Printer,4832772,1677309.74,Apr,East,294
Smartphone,19236216,4712263.82,Jan,North,339
Tablet,5018382,1083019.19,Jan,North,199
Headphones,1563126,474563.39,Nov,East,47
Speaker,2996556,954215.39,Jan,South,444
Monitor,26744672,6891735.94,Oct,West,466
Keyboard,150416,38405.51,May,North,28
Headphones,26991840,3896148.16,Apr,South,480
Tablet,2660160,371845.32,Oct,South,480
Speaker,24265008,4046116.86,Sep,East,432
Tablet,19150789,1761588.74,Dec,North,391
Webcam,8942076,591151.07,Jul,South,386
Smartphone,7188640,2017863.44,Oct,West,179
Mouse,841140,111028.89,Aug,West,20
Monitor,6870941,2283508.14,Jul,South,187
Speaker,8714944,659793.03,Oct,East,343
Monitor,1967290,146782.27,Mar,West,370
Headphones,9971022,1445832.78,Feb,North,383
Laptop,10081874,1849224.99,May,North,487
Headphones,626220,112277.4,Sep,West,49
Smartphone,114714,17915.38,Feb,East,18
Tablet,215886,37595.04,Feb,South,11
Speaker,3147123,804388.27,Mar,South,271
Keyboard,2876310,569328.7,Feb,South,159
Tablet,4102162,573997.79,Feb,East,146
Keyboard,8130080,2164795.07,Aug,South,488
Printer,553361,78243.81,Jul,East,59
Speaker,10585805,3267409.21,Aug,East,199
Tablet,22986762,7076533.07,Oct,South,422
Keyboard,6765408,2260888.92,Apr,West,169
Mouse,2526905,860708.23,May,West,95
Speaker,6636735,980682.93,May,West,405
Mouse,2359476,259400.83,Sep,South,63
Webcam,866844,163388.54,Dec,South,18
Printer,8091496,2422468.83,Feb,West,413
Printer,3192456,449656.77,May,South,76
Tablet,10309254,744220.31,Oct,West,409
Speaker,7459200,1506637.51,Dec,West,210
Webcam,1203360,409778.27,Dec,North,23
Smartphone,6673664,1650266.93,Jun,South,398
Speaker,1010097,348566.76,Nov,West,27
Mouse,26287819,4709112.18,Jan,North,499
